,_step,custom_step,eprew,eprew_eval,silhouette_score,env
0,0,8192,2.0370542807017546,1.9322126666666668,0.28102192282676697,bigfish
1,1,16384,2.3195765500000003,1.77195869,0.29570621252059937,bigfish
2,2,24576,1.7540214900000004,1.5716079400000005,0.06534473598003387,bigfish
3,3,32768,1.46927929,1.72526022,1.0,bigfish
4,4,40960,1.6249214399999996,1.6160847199999997,0.9684241414070129,bigfish
5,5,49152,1.5281830100000002,1.8402498399999998,0.9664173126220703,bigfish
6,6,57344,1.7151271600000004,1.6686138,0.6837497353553772,bigfish
7,7,65536,1.52326604,1.295299,0.9680949449539185,bigfish
8,8,73728,1.38468027,1.22044263,0.9977281093597412,bigfish
9,9,81920,1.20439712,1.5343620699999996,0.8932456374168396,bigfish
10,10,90112,1.0118893199999999,1.1959931799999999,0.822993278503418,bigfish
11,11,98304,1.501513,1.51945729,0.811762273311615,bigfish
12,12,106496,1.4733224299999998,1.5568997199999999,0.8043313026428223,bigfish
13,13,114688,1.3663274199999997,1.39322463,0.38720566034317017,bigfish
14,14,122880,1.6323174800000002,1.1130047,0.5241991281509399,bigfish
15,15,131072,1.7572996500000002,1.43609216,0.3241758346557617,bigfish
16,16,139264,1.6803155600000002,1.3113603600000001,0.37656426429748535,bigfish
17,17,147456,1.7563362200000001,1.3001434299999999,0.49349266290664673,bigfish
18,18,155648,1.5108001299999998,1.3932680400000002,0.38324737548828125,bigfish
19,19,163840,2.01878337,1.51861574,0.4254133701324463,bigfish
20,20,172032,1.29124237,1.16731406,0.4746972918510437,bigfish
21,21,180224,1.23183381,1.5927493399999997,0.47687721252441406,bigfish
22,22,188416,1.4177735099999997,1.18660926,0.4803449809551239,bigfish
23,23,196608,1.5074547999999999,1.5779393399999997,0.5589920878410339,bigfish
24,24,204800,1.5608265900000005,1.78137797,0.578399658203125,bigfish
25,25,212992,1.4149974,1.59532834,0.6121214628219604,bigfish
26,26,221184,1.4671322900000001,1.97438561,0.5899526476860046,bigfish
27,27,229376,1.5480729599999998,1.45061322,0.5171306133270264,bigfish
28,28,237568,1.6606691500000001,1.55664641,0.5922898054122925,bigfish
29,29,245760,1.5647935500000003,1.46682615,0.6661434173583984,bigfish
30,30,253952,1.36860251,1.46171921,0.6957470178604126,bigfish
31,31,262144,1.6840456700000002,1.32228359,0.6840580701828003,bigfish
32,32,270336,1.6989151299999998,1.63986527,0.6645879745483398,bigfish
33,33,278528,1.5832425799999998,1.5362862899999998,0.6934900283813477,bigfish
34,34,286720,1.1848903599999998,2.01974405,0.5011647939682007,bigfish
35,35,294912,1.55624937,1.5250601599999998,0.753287136554718,bigfish
36,36,303104,1.76206827,1.15884866,0.5924201011657715,bigfish
37,37,311296,1.26258794,1.22673332,0.6194714307785034,bigfish
38,38,319488,1.4680295899999998,1.4525706000000003,0.601117730140686,bigfish
39,39,327680,1.26747159,1.4368177899999999,0.5390980243682861,bigfish
40,40,335872,1.6074185200000002,1.7630349,0.6058763861656189,bigfish
41,41,344064,2.27521936,1.46764599,0.609947919845581,bigfish
42,42,352256,1.9650304399999998,1.3995087999999998,0.5625176429748535,bigfish
43,43,360448,1.42716691,1.42094919,0.5217682123184204,bigfish
44,44,368640,1.6942515,1.7500423600000001,0.5935714244842529,bigfish
45,45,376832,2.0444481399999996,1.9712558800000002,0.6136823892593384,bigfish
46,46,385024,1.9929239900000004,1.79367808,0.5463590025901794,bigfish
47,47,393216,1.7077327100000002,1.5153220999999997,0.5303621292114258,bigfish
48,48,401408,1.79206463,1.54946596,0.6489324569702148,bigfish
49,49,409600,2.0419939,1.6312048599999998,0.5102351307868958,bigfish
50,50,417792,2.05544259,1.6975016900000002,0.4533441662788391,bigfish
51,51,425984,1.7629142999999998,1.6118450000000002,0.6729937791824341,bigfish
52,52,434176,1.26003322,1.7292969599999999,0.5160874724388123,bigfish
53,53,442368,1.5763215799999997,1.67446877,0.632777214050293,bigfish
54,54,450560,1.77521095,1.6239647400000001,0.5734889507293701,bigfish
55,55,458752,1.70798981,1.50204228,0.506929874420166,bigfish
56,56,466944,1.9564620799999997,1.29506872,0.5147429704666138,bigfish
57,57,475136,2.0221679499999996,1.1264532600000001,0.4215807318687439,bigfish
58,58,483328,1.7730710800000002,1.5706030500000003,0.5123125314712524,bigfish
59,59,491520,1.3419143100000002,1.7225741700000003,0.4588892459869385,bigfish
60,60,499712,1.7237479500000001,1.3825592500000001,0.4149855971336365,bigfish
61,61,507904,1.5440742399999998,1.79241871,0.7296903133392334,bigfish
