Split updates,Joint updates
1.3669314074317829,1.1683597474987097
0.6496501838998091,0.41651717317799863
9.521539063514947,7.745193452716114
0.3144718547610082,0.364607740236778
3.588083908068409,3.1232425934221824
17.835550688337612,28.422304955231567
1.042270726111965,1.6950403623459418
2.516651280304773,5.352055285153478
1.6754987911516699,2.3793318463053015
10.637071701531477,10.272108673914365
3.388721373657789,3.5374406156450817
2.8126441711578947,2.7741634476716523
0.45475911695761917,0.24177815991971807
9.132542042030616,10.459256669979883
3.4002923066559076,3.462092468399288
2.766542187967161,3.1162939596481847
